"record_id","company","field_name","source_value","normalized_value","source_type","source_url","date_accessed","verification_status","confidence","quality_note"
"CHWY-001","Chewy","legal_business_name","Chewy, Inc.","Chewy, Inc.","SEC filing","https://www.sec.gov/Archives/edgar/data/1766502/000176650226000034/chwy-20260201.htm","2026-08-04","Verified","High","Exact legal registrant name retained."
"CHWY-002","Chewy","principal_executive_office","7700 West Sunrise Boulevard, Plantation, Florida 33322","7700 West Sunrise Boulevard, Plantation, FL 33322","SEC filing","https://www.sec.gov/Archives/edgar/data/1766502/000176650226000034/chwy-20260201.htm","2026-08-04","Verified","High","State name standardized to postal abbreviation; street wording preserved."
"CHWY-003","Chewy","customer_service_phone","1-800-672-4399","800-672-4399","Official customer-support page","https://www.chewy.com/customer-care/orders-payments-and-promotions/orders/chewy-hours-and-contacts","2026-08-04","Verified","High","Stored separately from the SEC registrant telephone number."
"CHWY-004","Chewy","registrant_phone","786-320-7111","786-320-7111","SEC filing","https://www.sec.gov/Archives/edgar/data/1766502/000176650226000034/chwy-20260201.htm","2026-08-04","Verified","High","Formal registrant number; not labeled as customer service."
"CHWY-005","Chewy","corporate_locations","Plantation, Florida and Boston, Massachusetts","Plantation, FL — principal executive office; Boston, MA — additional corporate location","Official careers website","https://careers.chewy.com/us/en/locations","2026-08-04","Verified with context","High","Corporate locations preserved separately; compared with the SEC-listed principal executive office in CHWY-002."
"CHWY-006","Chewy","jurisdiction_of_incorporation","Delaware","Delaware","SEC filing","https://www.sec.gov/Archives/edgar/data/1766502/000176650226000034/chwy-20260201.htm","2026-08-04","Verified","High","Legal jurisdiction stored separately from the principal office location."
"CVS-001","CVS Health","legal_business_name","CVS Health Corporation","CVS Health Corporation","SEC filing","https://www.sec.gov/Archives/edgar/data/64803/000006480326000010/cvs-20251231.htm","2026-08-04","Verified","High","Exact legal registrant name retained."
"CVS-002","CVS Health","principal_executive_office","One CVS Drive, Woonsocket, Rhode Island 02895","1 CVS Drive, Woonsocket, RI 02895","SEC filing","https://www.sec.gov/Archives/edgar/data/64803/000006480326000010/cvs-20251231.htm","2026-08-04","Verified with normalization","High","Word-form street number and state name standardized; source value preserved separately."
"CVS-003","CVS Health","registrant_phone","401-765-1500","401-765-1500","SEC filing","https://www.sec.gov/Archives/edgar/data/64803/000006480326000010/cvs-20251231.htm","2026-08-04","Verified","High","Formal SEC registrant number."
"CVS-004","CVS Health","published_corporate_phone","1-800-746-7287","800-746-7287","Official company contact page","https://www.cvshealth.com/contact.html","2026-08-04","Verified","High","Stored separately from the SEC registrant phone because the contacts serve different purposes."
"CVS-005","CVS Health","health_insurance_brand","Aetna","Aetna — health insurance brand within CVS Health","Official company website","https://www.cvshealth.com/services/health-insurance.html","2026-08-04","Verified with context","High","Brand is not interchangeable with the CVS Health Corporation legal entity."
"CVS-006","CVS Health","pharmacy_benefit_brand","CVS Caremark","CVS Caremark — pharmacy benefit management operation within CVS Health","Official company website","https://www.cvshealth.com/services/prescription-drug-coverage.html","2026-08-04","Verified with context","High","Business operation stored separately from the parent legal entity."
"CVS-007","CVS Health","retail_pharmacy_brand","CVS Pharmacy","CVS Pharmacy — retail pharmacy brand within CVS Health","Official company website","https://www.cvshealth.com/services/pharmacy.html","2026-08-04","Verified with context","High","Customer-facing retail brand stored separately from corporate records."
"CVS-008","CVS Health","care_delivery_brand","MinuteClinic","MinuteClinic — care-delivery brand within CVS Health","Official company website","https://www.cvshealth.com/services/health-care-and-wellness/health-services.html","2026-08-04","Verified with context","High","Service brand stored separately from insurance, pharmacy-benefit, and parent-company fields."
